time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
0.005000,-0.000000,-0.000011,-0.000003,-0.002040
0.010000,-0.000000,-0.000009,-0.000031,-0.000948
0.015000,-0.000000,-0.000016,-0.000109,-0.000189
0.020000,-0.000001,-0.000081,-0.000257,-0.010809
0.025000,-0.000003,-0.000144,-0.000494,-0.010409
0.030000,-0.000007,-0.000186,-0.000836,-0.010102
0.035000,-0.000012,-0.000245,-0.001287,-0.009742
0.040000,-0.000020,-0.000258,-0.001835,-0.008363
0.045000,-0.000031,-0.000307,-0.002473,-0.009207
0.050000,-0.000046,-0.000315,-0.003174,-0.006019
0.055000,-0.000064,-0.000358,-0.003909,-0.010213
0.060000,-0.000086,-0.000610,-0.004661,-0.019905
0.065000,-0.000111,-0.000728,-0.005406,-0.023206
0.070000,-0.000140,-0.000723,-0.006111,-0.019757
0.075000,-0.000173,-0.000837,-0.006751,-0.018544
0.080000,-0.000208,-0.000538,-0.007304,-0.005648
0.085000,-0.000246,-0.000573,-0.007747,-0.006893
0.090000,-0.000286,-0.000237,-0.008066,0.003306
0.095000,-0.000327,-0.000221,-0.008271,0.000211
0.100000,-0.000369,-0.000049,-0.008384,0.003867
0.105000,-0.000411,0.002917,-0.008432,0.101753
0.110000,-0.000453,0.003355,-0.008451,0.097620
0.115000,-0.000495,0.003932,-0.008496,0.095749
0.120000,-0.000538,0.004314,-0.008630,0.094159
0.125000,-0.000582,0.004883,-0.008921,0.096134
0.130000,-0.000628,0.005278,-0.009435,0.096994
0.135000,-0.000678,0.005863,-0.010231,0.097454
0.140000,-0.000732,0.006252,-0.011362,0.095234
0.145000,-0.000793,0.006819,-0.012871,0.091925
0.150000,-0.000863,0.007092,-0.014772,0.086479
0.155000,-0.000944,0.007601,-0.017124,0.080521
0.160000,-0.001038,0.007594,-0.019951,0.066210
0.165000,-0.001147,0.007987,-0.023240,0.062087
0.170000,-0.001274,0.008222,-0.026978,0.055527
0.175000,-0.001422,0.008541,-0.031145,0.049495
0.180000,-0.001591,0.008844,-0.035763,0.048894
0.185000,-0.001785,0.009131,-0.040734,0.043666
0.190000,-0.002004,0.009570,-0.045944,0.042804
0.195000,-0.002250,0.009811,-0.051479,0.035404
0.200000,-0.002525,0.010067,-0.057300,0.033721
0.205000,-0.002829,-0.000353,-0.063163,-0.012701
0.210000,-0.003162,-0.000422,-0.068965,-0.019617
0.215000,-0.003524,-0.000557,-0.074697,-0.026368
0.220000,-0.003915,-0.000675,-0.080366,-0.030306
0.225000,-0.004333,-0.000875,-0.085910,-0.038291
0.230000,-0.004779,-0.001037,-0.091174,-0.046654
0.235000,-0.005250,-0.001323,-0.096165,-0.050805
0.240000,-0.005745,-0.001507,-0.100776,-0.053856
0.245000,-0.006261,-0.001834,-0.105049,-0.057461
0.250000,-0.006799,-0.002215,-0.108958,-0.070176
0.255000,-0.007354,-0.002651,-0.112502,-0.076102
0.260000,-0.007926,-0.003166,-0.115668,-0.087633
0.265000,-0.008513,-0.003702,-0.118400,-0.094159
0.270000,-0.009112,-0.004011,-0.120627,-0.093056
0.275000,-0.009720,-0.004581,-0.122316,-0.098529
0.280000,-0.010335,-0.004952,-0.123393,-0.101697
0.285000,-0.010954,-0.005571,-0.123847,-0.104884
0.290000,-0.011573,-0.006003,-0.123658,-0.108189
0.295000,-0.012189,-0.006655,-0.122814,-0.107891
0.300000,-0.012799,-0.007162,-0.121318,-0.108386
0.305000,-0.013399,-0.016589,-0.119249,-0.119322
0.310000,-0.013988,-0.017212,-0.116678,-0.114588
0.314999,-0.014563,-0.017889,-0.113645,-0.112555
0.319999,-0.015121,-0.018401,-0.110153,-0.106898
0.324999,-0.015660,-0.019036,-0.106211,-0.101848
0.329999,-0.016178,-0.019393,-0.101802,-0.106213
0.334999,-0.016672,-0.020013,-0.096910,-0.098720
0.339999,-0.017141,-0.020458,-0.091514,-0.112502
0.344999,-0.017581,-0.021122,-0.085557,-0.107738
0.349999,-0.017989,-0.021595,-0.079094,-0.107292
0.354999,-0.018364,-0.022228,-0.072214,-0.100773
0.359999,-0.018703,-0.022658,-0.064794,-0.098975
0.364999,-0.019004,-0.023241,-0.056929,-0.096669
0.369999,-0.019264,-0.023433,-0.048564,-0.087798
0.374999,-0.019480,-0.023937,-0.039637,-0.076934
0.379999,-0.019650,-0.024196,-0.030120,-0.068512
0.384999,-0.019771,-0.024584,-0.020142,-0.056283
0.389999,-0.019841,-0.024834,-0.009905,-0.050171
0.394998,-0.019859,-0.025126,0.000499,-0.043973
0.399998,-0.019825,-0.024921,0.010898,-0.025182
0.404998,-0.019739,-0.016323,0.021697,0.058634
0.409998,-0.019597,-0.016163,0.032865,0.067844
0.414998,-0.019399,-0.015738,0.044129,0.078376
0.419998,-0.019144,-0.015524,0.055310,0.089690
0.424998,-0.018835,-0.014964,0.066236,0.101555
0.429998,-0.018472,-0.014519,0.076644,0.108079
0.434998,-0.018059,-0.013857,0.086382,0.115611
0.439998,-0.017600,-0.013373,0.095328,0.116712
0.444998,-0.017099,-0.012648,0.103368,0.127845
0.449998,-0.016561,-0.012237,0.110526,0.118545
0.454998,-0.015989,-0.011505,0.116677,0.129829
0.459998,-0.015390,-0.010974,0.121755,0.136007
0.464998,-0.014769,-0.010143,0.125805,0.143610
0.469997,-0.014130,-0.009191,0.128862,0.163622
0.474997,-0.013479,-0.008212,0.130944,0.165549
