time, Quad.Est.E.Pos, Quad.Est.S.Z
0.005000,0.000019,0.300030
0.010000,0.000037,0.300057
0.015000,0.000086,0.300105
0.020000,0.000145,0.300143
0.025000,0.000227,0.300210
0.030000,0.000296,0.300260
0.035000,0.000386,0.300344
0.040000,0.000425,0.300407
0.045000,0.000482,0.300509
0.050000,0.000514,0.300583
0.055000,0.000549,0.300704
0.060000,0.000724,0.300790
0.065000,0.000828,0.300928
0.070000,0.000820,0.301027
0.075000,0.000919,0.301183
0.080000,0.000760,0.301293
0.085000,0.000835,0.301468
0.090000,0.000856,0.301590
0.095000,0.001045,0.301782
0.100000,0.001218,0.301916
0.105000,0.012073,0.299776
0.110000,0.012091,0.299857
0.115000,0.012146,0.299983
0.120000,0.012211,0.300070
0.125000,0.012350,0.300205
0.130000,0.012476,0.300298
0.135000,0.012714,0.300441
0.140000,0.012901,0.300540
0.145000,0.013217,0.300693
0.150000,0.013396,0.300798
0.155000,0.013748,0.300960
0.160000,0.013795,0.301071
0.165000,0.014149,0.301241
0.170000,0.014395,0.301358
0.175000,0.014769,0.301538
0.180000,0.015110,0.301661
0.185000,0.015564,0.301850
0.190000,0.016062,0.301978
0.195000,0.016553,0.302176
0.200000,0.016974,0.302311
0.205000,0.007546,0.299956
0.210000,0.007873,0.300055
0.215000,0.008390,0.300206
0.220000,0.008752,0.300308
0.225000,0.009332,0.300465
0.230000,0.009728,0.300572
0.235000,0.010325,0.300735
0.240000,0.010747,0.300845
0.245000,0.011373,0.301014
0.250000,0.011743,0.301129
0.255000,0.012385,0.301304
0.260000,0.012737,0.301423
0.265000,0.013338,0.301604
0.270000,0.013765,0.301726
0.275000,0.014384,0.301913
0.280000,0.014821,0.302040
0.285000,0.015457,0.302233
0.290000,0.015874,0.302364
0.295000,0.016512,0.302563
0.300000,0.016902,0.302697
0.305000,0.045207,0.300239
0.310000,0.045724,0.300346
0.314999,0.046462,0.300509
0.319999,0.046974,0.300619
0.324999,0.047743,0.300786
0.329999,0.048242,0.300899
0.334999,0.048985,0.301071
0.339999,0.049478,0.301187
0.344999,0.050211,0.301364
0.349999,0.050706,0.301483
0.354999,0.051441,0.301664
0.359999,0.051922,0.301786
0.364999,0.052634,0.301972
0.369999,0.053069,0.302097
0.374999,0.053713,0.302287
0.379999,0.054140,0.302416
0.384999,0.054782,0.302610
0.389999,0.055232,0.302742
0.394998,0.055879,0.302941
0.399998,0.056253,0.303075
0.404998,0.032911,0.300557
0.409998,0.033346,0.300669
0.414998,0.033985,0.300839
0.419998,0.034396,0.300953
0.424998,0.034993,0.301126
0.429998,0.035386,0.301243
0.434998,0.035991,0.301420
0.439998,0.036401,0.301539
0.444998,0.037025,0.301719
0.449998,0.037424,0.301841
0.454998,0.038055,0.302025
0.459998,0.038502,0.302150
0.464998,0.039184,0.302338
0.469997,0.039697,0.302464
0.474997,0.040428,0.302656
0.479997,0.040965,0.302785
0.484997,0.041700,0.302981
0.489997,0.042149,0.303112
0.494997,0.042871,0.303311
0.499997,0.043373,0.303445
0.504997,0.023024,0.300890
0.509997,0.023182,0.301004
0.514997,0.023462,0.301178
0.519997,0.023632,0.301295
0.524997,0.023900,0.301471
0.529997,0.024086,0.301590
0.534997,0.024373,0.301770
0.539997,0.024569,0.301891
0.544997,0.024856,0.302074
0.549996,0.025049,0.302197
0.554996,0.025362,0.302383
0.559996,0.025612,0.302509
0.564996,0.025976,0.302698
0.569996,0.026142,0.302825
0.574996,0.026478,0.303018
0.579996,0.026688,0.303147
0.584996,0.027014,0.303343
0.589996,0.027184,0.303475
0.594996,0.027528,0.303674
0.599996,0.027677,0.303808
0.604996,0.082344,0.301226
0.609996,0.082861,0.301343
0.614996,0.083624,0.301519
0.619996,0.084129,0.301638
0.624996,0.084883,0.301816
0.629995,0.085399,0.301937
0.634995,0.086164,0.302118
0.639995,0.086673,0.302240
0.644995,0.087466,0.302425
0.649995,0.088002,0.302549
0.654995,0.088785,0.302736
0.659995,0.089307,0.302862
0.664995,0.090123,0.303052
0.669995,0.090632,0.303180
0.674995,0.091418,0.303373
0.679995,0.091867,0.303503
0.684995,0.092681,0.303698
0.689995,0.093312,0.303830
0.694995,0.094145,0.304028
0.699995,0.094580,0.304162
0.704994,0.059454,0.301563
0.709994,0.059761,0.301681
0.714994,0.060379,0.301859
0.719994,0.060824,0.301978
0.724994,0.061452,0.302158
0.729994,0.061865,0.302280
0.734994,0.062442,0.302462
0.739994,0.062814,0.302585
0.744994,0.063418,0.302771
0.749994,0.063816,0.302895
0.754994,0.064420,0.303083
0.759994,0.064824,0.303209
0.764994,0.065408,0.303400
0.769994,0.065845,0.303528
0.774994,0.066459,0.303721
0.779994,0.066880,0.303850
0.784993,0.067456,0.304046
0.789993,0.067772,0.304177
0.794993,0.068342,0.304375
0.799993,0.068630,0.304508
0.804993,0.058174,0.301897
0.809993,0.058153,0.302015
0.814993,0.058689,0.302194
0.819993,0.058685,0.302314
0.824993,0.059265,0.302496
0.829993,0.059718,0.302617
0.834993,0.060238,0.302801
0.839993,0.060572,0.302924
0.844993,0.061109,0.303110
0.849993,0.061469,0.303235
0.854993,0.062003,0.303423
0.859993,0.062300,0.303549
0.864992,0.062816,0.303740
0.869992,0.063101,0.303868
0.874992,0.063608,0.304061
0.879992,0.063978,0.304191
0.884992,0.064483,0.304386
0.889992,0.064753,0.304517
0.894992,0.065235,0.304715
0.899992,0.065722,0.304847
0.904992,0.068938,0.302226
0.909992,0.069354,0.302346
0.914992,0.069801,0.302525
0.919992,0.070096,0.302646
0.924992,0.070581,0.302828
0.929992,0.070933,0.302950
0.934992,0.071420,0.303134
0.939991,0.071720,0.303257
0.944991,0.072214,0.303443
0.949991,0.072533,0.303568
